iter	Passed	Remaining
0	70	35053
1	146	36405
2	220	36562
3	295	36590
4	368	36498
5	447	36847
6	516	36394
7	589	36274
8	669	36551
9	749	36736
10	823	36588
11	895	36418
12	978	36638
13	1062	36886
14	1134	36686
15	1205	36478
16	1284	36498
17	1360	36418
18	1425	36094
19	1512	36295
20	1586	36179
21	1651	35890
22	1715	35572
23	1787	35457
24	1856	35276
25	1933	35241
26	2004	35114
27	2070	34900
28	2142	34802
29	2204	34530
30	2276	34438
31	2352	34402
32	2424	34313
33	2482	34029
34	2550	33885
35	2628	33882
36	2693	33702
37	2764	33610
38	2834	33501
39	2905	33409
40	2967	33225
41	3033	33084
42	3107	33025
43	3175	32911
44	3229	32658
45	3290	32470
46	3358	32371
47	3422	32224
48	3501	32225
49	3565	32088
50	3627	31939
51	3701	31886
52	3765	31756
53	3830	31639
54	3902	31574
55	3968	31467
56	4035	31365
57	4103	31269
58	4162	31111
59	4232	31037
60	4307	31002
61	4371	30879
62	4431	30740
63	4496	30631
64	4559	30511
65	4629	30444
66	4696	30354
67	4758	30231
68	4830	30173
69	4897	30087
70	4973	30051
71	5036	29939
72	5103	29852
73	5170	29765
74	5234	29662
75	5310	29627
76	5373	29518
77	5434	29400
78	5507	29349
79	5579	29293
80	5646	29210
81	5717	29145
82	5780	29041
83	5839	28921
84	5908	28848
85	5976	28772
86	6045	28700
87	6115	28629
88	6175	28517
89	6234	28403
90	6300	28316
91	6358	28197
92	6425	28119
93	6493	28044
94	6558	27958
95	6625	27883
96	6691	27800
97	6756	27714
98	6815	27605
99	6880	27523
100	6941	27423
101	7005	27334
102	7069	27248
103	7132	27157
104	7189	27047
105	7266	27007
106	7334	26938
107	7405	26878
108	7480	26833
109	7547	26758
110	7606	26656
111	7673	26584
112	7741	26512
113	7802	26417
114	7870	26348
115	7933	26264
116	7995	26173
117	8070	26126
118	8135	26048
119	8203	25977
120	8274	25917
121	8336	25828
122	8393	25726
123	8460	25654
124	8523	25569
125	8592	25505
126	8661	25438
127	8729	25369
128	8793	25290
129	8865	25231
130	8925	25142
131	8985	25051
132	9065	25015
133	9137	24958
134	9197	24866
135	9266	24802
136	9329	24718
137	9399	24656
138	9466	24585
139	9529	24505
140	9585	24406
141	9652	24334
142	9709	24239
143	9771	24156
144	9843	24099
145	9907	24022
146	9973	23950
147	10041	23881
148	10107	23811
149	10167	23724
